Designation,Name,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,technical_skills,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Project Manager,Wipro, Maharashtra,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Project Manager,Wipro, Delhi,121,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Project Manager,Wipro, Delhi,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Administrator,Wipro, Telangana,0,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Java Developer,LTIMindtree, Telangana,22,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Project Manager,Wipro, Maharashtra,119,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
SQL Developer,IDESLABS PRIVATE LIMITED, Maharashtra,9,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
Administrator,Wipro, Telangana,39,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Administrator,Wipro, Telangana,22,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Test Engineer,Wipro, Maharashtra,158,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Administrator,Wipro, Maharashtra,11,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Administrator,Wipro, Maharashtra,47,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Service Level Manager,Wipro, Maharashtra,20,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Administrator,Wipro, Maharashtra,71,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Project Manager,Wipro, Maharashtra,1,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Java Developer,LTIMindtree, Karnataka,6,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Opening for Scrum Master,LTIMindtree, Maharashtra,21,270280,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
